ford, galaxy, 151000, 2011, 103, diesel, 10584, 
mitsubishi, colt, 231659, 1998, 55, gasoline, 1110, 
skoda, fabia, 213809, 2004, 47, gasoline, 2405, 
nissan, qashqai, 2, 2015, 120, gasoline, 21798, 
seat, leon, 196634, 2001, 74, gasoline, 2775, 
volvo, v40, 10500, 2015, 88, gasoline, 18501, 
skoda, fabia, 146615, 2001, 50, gasoline, 2772, 
bmw, x3, 128850, 2008, 130, diesel, 11062, 
opel, meriva, 117090, 2007, 132, gasoline, 5325, 
fiat, stilo, 262571, 2007, 77, gasoline, 2183, 
mini, clubman, 155715, 2009, 80, diesel, 9252, 
citroen, c5, 188491, 2002, 85, gasoline, 1665, 
skoda, octavia, 192569, 2003, 75, gasoline, 2960, 
ford, c-max, 111371, 2012, 120, diesel, 11839, 
skoda, superb, 156933, 2011, 103, diesel, 12579, 
ford, focus, 150050, 2012, 85, diesel, 8508, 
skoda, octavia, 131742, 2012, 77, diesel, 9063, 
skoda, fabia, 228921, 2003, 40, gasoline, 1813, 
ford, focus, 144182, 2006, 85, diesel, 4404, 
citroen, c4-picasso, 141000, 2011, 110, diesel, 9252, 
citroen, c3, 157533, 2004, 54, gasoline, 2405, 
skoda, fabia, 79682, 2006, 40, gasoline, 3515, 
opel, astra, 79416, 2012, 88, gasoline, 9252, 
ford, mondeo, 187739, 2008, 103, diesel, 7031, 
skoda, fabia, 160450, 2007, 47, gasoline, 3293, 
skoda, octavia, 38383, 2006, 75, gasoline, 5551, 
mazda, 6, 279271, 2006, 105, diesel, 3515, 
skoda, octavia, 158042, 2009, 77, diesel, 8327, 
skoda, fabia, 57060, 2007, 77, gasoline, 5847, 
ford, mondeo, 179200, 2008, 129, diesel, 8508, 
hyundai, getz, 107702, 2006, 48, gasoline, 2553, 
skoda, fabia, 161238, 2005, 40, gasoline, 2405, 
skoda, fabia, 184427, 2001, 44, gasoline, 2220, 
skoda, octavia, 258836, 2006, 74, diesel, 3330, 
opel, meriva, 55145, 2009, 77, gasoline, 5921, 
audi, a4, 157400, 2008, 105, diesel, 11099, 
skoda, superb, 170800, 2009, 103, diesel, 11065, 
skoda, roomster, 130099, 2006, 63, gasoline, 4404, 
kia, sportage, 119482, 2005, 104, gasoline, 6291, 
ford, mondeo, 264215, 2007, 103, diesel, 5551, 
suzuki, swift, 66839, 2010, 67, gasoline, 5551, 
ford, galaxy, 159489, 2009, 92, diesel, 9807, 
skoda, octavia, 243760, 2006, 77, diesel, 5366, 
